feature,f-score,odds-ratio,statistical-power,probability-ratio,gini-index,kolmogorov-smirnov,geometric-mean,auc,auprc,mutual-info,deviance,matthews-correlation-coefficient
GENE122X,0.4318181818181819,3.3333333333333335,0.23407828555633348,3.130434782608696,0.36962426437301943,0.1871980676328503,0.5461768749626456,0.4993961352657006,0.24523830595805463,-187.60109866492112,253.9683397464916,0.17250997885099592
GENE121X,0.425531914893617,3.227272727272727,0.19929189603475128,3.130434782608696,0.35853327297419646,0.16123188405797104,0.5549513622766896,0.4951690821256039,0.2428053131364541,-187.2604594886878,253.9683397464916,0.18248971940174205
GENE120X,0.44680851063829785,6.761904761904762,0.36546249943484965,6.260869565217392,0.3496357960457856,0.21859903381642515,0.5907908398283785,0.5603864734299517,0.29684510373427,-186.62204925450828,253.0441763222573,0.25946325003864634
GENE119X,0.4788732394366197,6.761904761904762,0.2979204610355637,6.260869565217392,0.35853327297419646,0.3085748792270531,0.6487632232230518,0.6186594202898551,0.32868030255569924,-187.03848591594746,251.86556213017752,0.2643754879319342
GENE118X,0.4545454545454546,3.227272727272727,0.19929189603475128,3.130434782608696,0.35853327297419646,0.26328502415458943,0.6313087395543334,0.5540458937198067,0.2736015768394521,-187.2604594886878,252.88925736961448,0.22657940053258824
GENE117X,0.4421052631578948,5.310344827586207,0.25287385581413513,1.8782608695652172,0.36962426437301943,0.20471014492753625,0.5646597025732799,0.5851449275362319,0.2790810142182555,-188.45736207231954,253.53,0.20471014492753623
GENE116X,0.423076923076923,4.8474576271186445,0.2613510668803563,3.130434782608696,0.36962426437301943,0.1370772946859904,0.5366968215490656,0.5522342995169082,0.2738607379694874,-187.746012441157,253.97957530864198,0.1656491316817369
GENE115X,0.4,6.761904761904762,0.3714390508231942,6.260869565217392,0.3496357960457856,0.17934782608695654,0.5646597025732799,0.48580917874396135,0.3201126732084777,-186.62204925450828,253.53,0.25946325003864634
GENE114X,0.4390243902439025,3.142857142857143,0.25424210752716025,2.347826086956522,0.36962426437301943,0.21316425120772953,0.5804795618616821,0.5440821256038648,0.25125683165533674,-188.10678664042928,257.6235730209101,0.18822065610430608
GENE113X,0.5185185185185185,9.932432432432432,0.2923089768436177,2.0869565217391304,0.36962426437301943,0.3991545893719807,0.6684758061303658,0.6594202898550725,0.3149952580814792,-188.45736207231954,252.71928426428508,0.3506359444003645
GENE112X,0.4301075268817204,6.761904761904762,0.47716881691354385,6.260869565217392,0.3496357960457856,0.19142512077294693,0.5549513622766896,0.5030193236714975,0.29442054226533754,-186.3181523387884,253.70152788776596,0.25946325003864634
GENE111X,0.44897959183673475,7.886792452830188,0.3714390508231942,6.260869565217392,0.36962426437301943,0.22041062801932368,0.5603656501211943,0.5247584541062802,0.2876996780214063,-186.8612868547994,253.62128676917604,0.23158854206984297
GENE110X,0.425531914893617,5.25,0.3714390508231942,4.695652173913044,0.3496357960457856,0.16123188405797104,0.5327442398757334,0.519927536231884,0.30175271779421264,-186.62204925450828,253.9683397464916,0.25946325003864634
GENE109X,0.4301075268817204,3.227272727272727,0.20059204031851152,3.130434782608696,0.36962426437301943,0.17512077294685993,0.5527707983925666,0.5329106280193237,0.25464876068533726,-187.746012441157,253.62513408417578,0.17035261607214167
GENE108X,0.42666666666666664,3.5483870967741935,0.20059204031851152,2.0869565217391304,0.36962426437301943,0.19565217391304346,0.5943575267170572,0.5398550724637681,0.24076542426813882,-188.27201341407246,253.62513408417578,0.16837551782696925
GENE107X,0.4086021505376344,3.142857142857143,0.1024821885809053,1.341614906832298,0.36962426437301943,0.11775362318840582,0.5212860351426869,0.5144927536231885,0.23371457839968507,-189.31480039902817,253.9683397464916,0.1332175423142422
GENE106X,0.4,3.227272727272727,0.19929189603475128,3.130434782608696,0.35853327297419646,0.13647342995169087,0.5673269810097546,0.5341183574879227,0.24376862580876424,-187.2604594886878,253.53,0.18248971940174205
GENE105X,0.44,6.8,0.3714390508231942,4.695652173913044,0.3496357960457856,0.19263285024154597,0.5742039227726821,0.4858091787439614,0.28814656477206557,-186.62204925450828,253.53,0.25946325003864634
GENE104X,0.4347826086956521,6.761904761904762,0.31114260767206803,6.260869565217392,0.35853327297419646,0.18900966183574877,0.5516772843673705,0.47946859903381644,0.256930010639038,-187.03848591594746,253.91880352310673,0.18283936271530682
GENE103X,0.4220183486238532,6.761904761904762,0.2979204610355637,6.260869565217392,0.36962426437301943,0.17995169082125606,0.5866880760256891,0.5377415458937198,0.2699117893534713,-187.03848591594746,253.87951111111107,0.18283936271530682
GENE102X,0.4070796460176991,1.9572192513368984,0.2159024985755029,1.7075098814229248,0.36962426437301943,0.15881642512077299,0.5742039227726821,0.5157004830917875,0.25105257478063925,-188.45736207231954,253.30441202043204,0.1419126814780922
GENE101X,0.5283018867924527,11.702127659574469,0.3714390508231942,6.260869565217392,0.36962426437301943,0.38647342995169087,0.6880624620561867,0.7122584541062802,0.38610335043220306,-186.33013262718313,251.7276344783615,0.3561496337568948
GENE100X,0.4220183486238532,3.5483870967741935,0.14805033181257726,1.4608695652173913,0.36962426437301943,0.13466183574879226,0.5673269810097546,0.5163043478260869,0.23647440521799135,-191.82731595453495,253.77748594506835,0.18283936271530682
GENE99X,0.41071428571428575,3.227272727272727,0.30608103345290777,3.130434782608696,0.36962426437301943,0.1280193236714976,0.5361339511041714,0.5169082125603865,0.25482287595209985,-187.746012441157,253.92399087319748,0.15495059240720752
GENE98X,0.4210526315789474,3.227272727272727,0.2065707774002063,3.130434782608696,0.36962426437301943,0.20410628019323668,0.6009252125773314,0.5760869565217391,0.278966559359624,-187.746012441157,253.0441763222573,0.17772978562011588
GENE3633X,0.41441441441441446,6.761904761904762,0.4843129758856868,6.260869565217392,0.3496357960457856,0.22101449275362323,0.5710402407201608,0.4876207729468599,0.3189029197257512,-186.11958545846616,253.42721478384252,0.2754687363686391
GENE3632X,0.49275362318840565,11.702127659574469,0.36546249943484965,6.260869565217392,0.3496357960457856,0.3363526570048309,0.6643983148480638,0.6491545893719807,0.372901481222922,-186.62204925450828,251.42870204081635,0.2918277585650682
GENE334X,0.4642857142857143,3.38,0.251503280220519,2.034782608695652,0.36962426437301943,0.28743961352657005,0.6389151433378876,0.5785024154589371,0.29415574812713835,-188.82599311321903,252.1078123475709,0.258597291475905
GENE97X,0.4358974358974359,3.227272727272727,0.22740471053353722,3.130434782608696,0.36962426437301943,0.2282608695652174,0.6074218901694314,0.6029589371980676,0.2985103769009559,-187.746012441157,252.46847023908964,0.21231988333842478
GENE2646X,0.43636363636363634,3.227272727272727,0.3185200874765294,3.130434782608696,0.36962426437301943,0.2439613526570048,0.6138498140448513,0.5920893719806763,0.2995521298875879,-187.746012441157,252.3298414273117,0.23189280102145368
GENE2645X,0.5000000000000001,4.842105263157895,0.4578409523991627,4.173913043478261,0.36962426437301943,0.34842995169082125,0.6738740833369664,0.6503623188405797,0.3457419808861004,-186.50648816844898,252.46847023908964,0.3013400379719163
